,site,status
1408,AZ,returned
1409,AZ,unreturned
1410,CA,returned
1411,AZ,returned
1412,TX,unreturned
1413,CA,unreturned
1414,OR,returned
1415,CA,unreturned
1416,OR,returned
1417,OR,returned
1418,CA,unreturned
1419,CA,unreturned
1420,AZ,returned
1421,CA,unreturned
1422,CA,returned
1423,CA,unreturned
1424,CA,unreturned
1425,AZ,unreturned
1426,TX,returned
1427,CA,returned
1428,CA,unreturned
1429,TX,unreturned
1430,CA,returned
1431,CA,returned
1432,AZ,unreturned
1433,CA,returned
1434,CA,returned
1435,CA,unreturned
1436,TX,returned
1437,CA,unreturned
1438,CA,unreturned
1439,CA,unreturned
1440,TX,returned
1441,CA,returned
1442,CA,returned
1443,CA,returned
1444,CA,returned
1445,AZ,unreturned
1446,TX,returned
1447,AZ,unreturned
1448,CA,unreturned
1449,CA,returned
1450,AZ,unreturned
1451,TX,returned
1452,OR,returned
1453,TX,unreturned
1454,OR,returned
1455,CA,unreturned
1456,AZ,unreturned
1457,TX,returned
1458,CA,returned
1459,CA,returned
1460,CA,returned
1461,CA,unreturned
1462,CA,returned
1463,CA,returned
1464,CA,unreturned
1465,AZ,returned
1466,TX,unreturned
1467,CA,returned
1468,CA,returned
1469,AZ,returned
1470,CA,returned
1471,CA,returned
1472,CA,unreturned
1473,AZ,returned
1474,OR,returned
1475,CA,returned
1476,AZ,unreturned
1477,CA,returned
1478,AZ,returned
1479,CA,returned
1480,CA,returned
1481,CA,returned
1482,CA,returned
1483,CA,unreturned
1484,CA,returned
1485,CA,returned
1486,CA,unreturned
1487,CA,returned
1488,CA,returned
1489,CA,returned
1490,OR,returned
1491,OR,returned
1492,TX,returned
1493,CA,unreturned
1494,CA,returned
1495,AZ,unreturned
1496,CA,unreturned
1497,CA,unreturned
1498,CA,unreturned
1499,OR,returned
1500,CA,returned
1501,CA,unreturned
1502,TX,returned
1503,TX,returned
1504,AZ,returned
1505,CA,unreturned
1506,CA,returned
1507,CA,returned
1508,AZ,unreturned
1509,AZ,unreturned
1510,AZ,returned
1511,OR,returned
1512,CA,returned
1513,CA,returned
1514,CA,returned
1515,OR,returned
1516,CA,returned
1517,TX,returned
1518,AZ,returned
1519,CA,returned
1520,CA,unreturned
1521,CA,returned
1522,CA,unreturned
1523,CA,returned
1524,OR,returned
1525,CA,returned
1526,CA,unreturned
1527,CA,returned
